Study_Hours,Sleep_Hours,Social_Media_Usage,Extracurricular_Activities,Physical_Activity,Stress_Level,Productivity_Level,Burnout_Risk,Academic_Performance
3,5,0,Yes,6,Low,Low,Low,3.823892691245655
8,5,1,Yes,1,High,Medium,Medium,2.6469403701346224
8,9,1,No,2,High,Low,Low,3.4451881870012078
6,8,3,No,6,Low,Medium,Medium,2.5193320707675957
7,6,3,No,6,Low,Low,Low,2.0877850027732543
6,8,5,Yes,0,Medium,Medium,Low,3.6995950371827933
5,6,5,Yes,2,Low,High,Medium,2.9601415255432313
5,4,2,No,3,Medium,Low,High,3.387121674972656
4,6,3,Yes,2,Medium,Medium,High,2.408940647863268
11,6,2,Yes,2,Medium,Low,High,3.514018104684663
9,4,0,Yes,3,Medium,High,High,2.3934228388913015
7,7,1,Yes,1,Medium,High,Low,3.492791017783271
6,5,2,Yes,0,Low,High,High,2.1989957352322884
4,5,1,Yes,0,Medium,Medium,Medium,3.138562404766609
2,4,3,Yes,6,Medium,High,Low,2.402432904563665
